   County Total Precincts Precincts Reporting Bush Kerry Nader
   Acworth 1 1 221 297 3
   Albany 1 1 172 220 4
   Alexandria 1 1 459 376 12
   Allenstown 1 1 1,089 1,087 18
   Alstead 1 1 430 642 5
   Alton 1 1 1,896 1,139 19
   Amherst 1 1 3,637 3,469 36
   Andover 1 1 642 721 7
   Antrim 1 1 689 715 11
   Ashland 1 1 600 461 9
   Atkinson 1 1 2,457 1,836 23
   Auburn 1 1 1,832 1,105 16
   Barnstead 1 1 1,274 1,050 11
   Barrington 1 1 2,086 2,216 32
   Bartlett 1 1 842 1,090 10
   Bath 1 1 262 213 4
   Bedford 1 1 6,836 4,047 37
   Belmont 1 1 1,882 1,431 32
   Bennington 1 1 371 369 8
   Benton 1 1 116 60 1
   Berlin 4 4 1,741 3,097 20
   Bethlehem 1 1 597 771 11
   Boscawen 1 1 828 840 8
   Bow 1 1 2,403 2,276 22
   Bradford 1 1 445 532 6
   Brentwood 1 1 1,114 913 18
   Bridgewater 1 1 348 280 4
   Bristol 1 1 877 727 14
   Brookfield 1 1 257 187 2
   Brookline 1 1 1,429 1,157 19
   Campton 1 1 763 869 13
   Canaan 1 1 735 917 18
   Candia 1 1 1,502 977 16
   Canterbury 1 1 631 896 5
   Carroll 1 1 243 243 3
   Center Harbor 1 1 382 324 3
   Charlestown 1 1 1,007 1,295 12
   Chatham 1 1 116 69 7
   Chester 1 1 1,614 940 18
   Chesterfield 1 1 915 1,208 11
   Chichester 1 1 741 665 8
   Claremont 3 3 2,575 3,253 50
   Clarksville 1 1 92 54 1
   Colebrook 1 1 615 384 21
   Columbia 1 1 235 123 1
   Concord 10 10 8,202 12,662 122
   Conway 1 1 2,300 2,752 52
   Cornish 1 1 431 608 3
   Croydon 1 1 248 157 2
   Dalton 1 1 293 206 4
   Danbury 1 1 357 278 7
   Danville 1 1 1,261 929 21
   Deerfield 1 1 1,359 1,030 22
   Deering 1 1 487 487 5
   Derry 1 1 8,038 6,760 79
   Dixville 1 1 19 7 0
   Dorchester 1 1 114 70 1
   Dover 6 6 6,206 9,225 95
   Dublin 1 1 464 633 4
   Dummer 1 1 126 62 0
   Dunbarton 1 1 827 673 8
   Durham 1 1 1,772 4,272 51
   East Kingston 1 1 686 497 9
   Easton 1 1 69 119 1
   Eaton 1 1 116 153 3
   Effingham 1 1 376 338 7
   Ellsworth 1 1 34 23 1
   Enfield 1 1 979 1,370 20
   Epping 1 1 1,555 1,551 25
   Epsom 1 1 1,308 1,024 12
   Errol 1 1 137 60 3
   Exeter 1 1 3,543 4,659 39
   Farmington 1 1 1,452 1,379 19
   Fitzwilliam 1 1 610 677 17
   Francestown 1 1 532 510 5
   Franconia 1 1 310 435 4
   Franklin 3 3 1,813 1,920 25
   Freedom 1 1 512 419 18
   Fremont 1 1 1,154 863 16
   Gilford 1 1 2,636 1,924 26
   Gilmanton 1 1 1,059 939 13
   Gilsum 1 1 207 219 7
   Goffstown 1 1 5,008 3,734 55
   Gorham 1 1 653 975 15
   Goshen 1 1 225 192 6
   Grafton 1 1 327 294 2
   Grantham 1 1 780 993 10
   Greenfield 1 1 404 420 9
   Greenland 1 1 985 1,087 11
   Greenville 1 1 451 471 15
   Groton 1 1 166 127 10
   Hampstead 1 1 2,856 2,046 35
   Hampton 1 1 4,645 4,729 61
   Hampton Falls 1 1 853 513 10
   Hancock 1 1 481 718 4
   Hanover 1 1 1,444 5,152 30
   Harrisville 1 1 218 497 5
   Harts Location 1 1 16 14 1
   Haverhill 1 1 1,259 802 26
   Hebron 1 1 250 170 1
   Henniker 1 1 1,047 1,392 22
   Hill 1 1 295 249 6
   Hillsborough 1 1 1,390 1,292 25
   Hinsdale 1 1 675 1,185 12
   Holderness 1 1 595 688 8
   Hollis 1 1 2,425 2,398 26
   Hooksett 1 1 3,784 2,656 23
   Hopkinton 1 1 1,527 2,245 19
   Hudson 1 1 6,172 5,390 83
   Jackson 1 1 272 439 12
   Jaffrey 1 1 1,459 1,495 14
   Jefferson 1 1 387 211 6
   Keene 5 5 4,004 8,369 86
   Kensington 1 1 662 573 8
   Kingston 1 1 1,806 1,430 23
   Laconia 6 6 4,318 3,544 47
   Lancaster 1 1 942 751 14
   Landaff 1 1 139 98 2
   Langdon 1 1 153 195 2
   Lebanon 3 3 2,302 4,048 32
   Lee 1 1 903 1,481 19
   Lempster 1 1 284 226 5
   Lincoln 1 1 435 395 9
   Lisbon 1 1 417 298 8
   Litchfield 1 1 2,386 1,747 16
   Littleton 1 1 1,659 1,337 32
   Londonderry 1 1 6,888 5,222 67
   Loudon 1 1 1,521 1,203 16
   Lyman 1 1 178 129 2
   Lyme 1 1 373 794 4
   Lyndeborough 1 1 481 488 11
   Madbury 1 1 435 590 9
   Madison 1 1 634 720 7
   Manchester 12 12 23,120 22,877 251
   Marlborough 1 1 396 777 8
   Marlow 1 1 184 261 3
   Mason 1 1 408 420 7
   Meredith 1 1 2,053 1,519 27
   Merrimack 1 1 7,927 6,682 101
   Middleton 1 1 399 380 10
   Milan 1 1 347 379 7
   Milford 1 1 3,757 3,516 60
   Millsfield 1 1 12 2 1
   Milton 1 1 1,036 1,021 16
   Monroe 1 1 332 187 4
   Mont Vernon 1 1 692 653 9
   Moultonborough 1 1 1,821 1,150 19
   Nashua 9 9 17,880 21,379 271
   Nelson 1 1 147 278 6
   New Boston 1 1 1,606 1,195 16
   New Castle 1 1 403 383 2
   New Durham 1 1 729 657 13
   New Hampton 1 1 654 558 16
   New Ipswich 1 1 1,581 807 17
   New London 1 1 1,478 1,442 16
   Newbury 1 1 630 632 7
   Newfields 1 1 489 473 3
   Newington 1 1 303 250 4
   Newmarket 1 1 1,830 2,939 44
   Newport 1 1 1,458 1,425 20
   Newton 1 1 1,160 1,103 30
   North Hampton 1 1 1,537 1,367 9
   Northfield 1 1 1,170 1,101 13
   Northumberland 1 1 501 542 0
   Northwood 1 1 1,107 1,058 16
   Nottingham 1 1 1,272 1,085 17
   Orange 1 1 69 85 2
   Orford 1 1 318 377 10
   Ossipee 1 1 1,184 880 25
   Pelham 1 1 3,725 2,755 35
   Pembroke 1 1 1,824 1,752 25
   Peterborough 1 1 1,439 2,310 11
   Piermont 1 1 195 233 6
   Pittsburg 1 1 369 149 4
   Pittsfield 1 1 1,043 867 17
   Plainfield 1 1 508 893 5
   Plaistow 1 1 2,331 1,804 14
   Plymouth 1 1 1,209 2,300 24
   Portsmouth 5 5 4,185 8,436 77
   Randolph 1 1 104 165 3
   Raymond 1 1 2,630 2,127 34
   Richmond 1 1 267 340 2
   Rindge 1 1 1,626 1,500 26
   Rochester 6 6 6,656 6,672 84
   Rollinsford 1 1 646 827 7
   Roxbury 1 1 52 102 2
   Rumney 1 1 550 404 7
   Rye 1 1 1,796 1,900 29
   Salem 1 1 7,797 6,472 91
   Salisbury 1 1 396 353 6
   Sanbornton 1 1 902 818 13
   Sandown 1 1 1,655 1,158 16
   Sandwich 1 1 420 584 6
   Seabrook 1 1 2,223 2,023 28
   Sharon 1 1 90 148 0
   Shelburne 1 1 144 140 3
   Somersworth 5 5 2,355 3,101 37
   South Hampton 1 1 268 276 7
   Springfield 1 1 411 324 7
   Stark 1 1 169 130 1
   Stewartstown 1 1 245 182 3
   Stoddard 1 1 323 320 5
   Strafford 1 1 1,121 1,121 16
   Stratford 1 1 139 159 3
   Stratham 1 1 2,068 2,093 14
   Sugar Hill 1 1 160 236 0
   Sullivan 1 1 187 212 2
   Sunapee 1 1 1,108 972 13
   Surry 1 1 224 241 5
   Sutton 1 1 510 634 10
   Swanzey 1 1 1,520 1,950 21
   Tamworth 1 1 736 778 9
   Temple 1 1 365 453 10
   Thornton 1 1 623 478 9
   Tilton 1 1 896 867 11
   Troy 1 1 466 568 9
   Tuftonboro 1 1 956 647 11
   Unity 1 1 404 335 6
   Wakefield 1 1 1,462 1,053 16
   Walpole 1 1 883 1,296 20
   Warner 1 1 742 903 12
   Warren 1 1 307 189 2
   Washington 1 1 329 269 7
   Waterville 1 1 81 111 1
   Weare 1 1 2,549 1,795 34
   Webster 1 1 521 502 5
   Wentworth 1 1 290 186 5
   Wentworths Location 1 1 14 11 1
   Westmoreland 1 1 432 586 5
   Whitefield 1 1 613 528 16
   Wilmot 1 1 278 456 9
   Wilton 1 1 1,032 1,209 14
   Winchester 1 1 774 1,073 28
   Windham 1 1 4,204 2,829 36
   Windsor 1 1 73 63 0
   Wolfeboro 1 1 2,343 1,798 27
   Woodstock 1 1 336 370 9
